Member Committee Vice President,I believe in AIESEC's mission.,My direct team leader is a great role model for AIESECers.,We foster an inclusive environment within the team.,I enjoy doing my work and am empowered to do my best here.,I feel empowered to take on further leadership development experiences.,My team is capable of balancing short term outcomes and long term gains.,I've had the space to learn by practicing some of the activities in my job description with my team leader's assistance in the beginning of our term.,"Our team working times are the perfect moments for us to synergize, solve common problems, and learn from each other so we become more productive.",My accomplishments are recognized by others in the organization.,My team has a routine to hold myself and others accountable for our results.,I have a clear and challenging goal that contributes to the success of our team.,"I understand the current state of my team (facts and data) every month, I understand what we want to achieve as a team by the end of the term, and I understand what we need to improve to achieve it.",My job performance and behavior are evaluated fairly.,"I have reviewed my personal development plan with my direct team leader, it helps me to understand my current achievement, gaps, and ways forward.",My direct team leader provides me spaces to develop my leadership qualities.,My team has team meetings to keep everyone aware of relevant information with clear calls to action.,My team leader provides me a one-to-one space monthly to review how am I doing (personally and in AIESEC) and find the scope for improvement.,I am more eager to work because I'm able to connect to my team.,My team leader and teammates give valuable feedback on my work that helps me to improve.,# Responses
Argentina,5,4.46,4.69,4.69,4.46,3.92,3.69,4.15,3.69,4.38,4.92,4.62,4.46,3.31,3.46,4,3.08,4.15,4.62,13
Bolivia,4.75,3.25,3.75,4.5,4.5,3.25,3.5,3.5,3,4.25,4.75,4.5,4.25,3.5,3.5,4.5,3.75,3.75,4.25,4
Brazil,5,4.2,4.8,4.8,4.8,4.2,4.4,4.2,4.2,4.8,5,4.6,4.6,4.2,4.4,5,4.6,5,4,5
Canada,4.75,4.5,4.25,3.75,3.5,3.75,3.75,4,4.25,4.5,4.5,4.75,4.25,2,2.75,5,1.75,3.5,4.5,4
Chile,4.71,3.14,3.57,4.43,3.86,3.29,3.71,3.57,3.86,4.29,4,4,3.86,2.71,2.86,4.43,3.43,3,3.71,7
Colombia,4.6,4.4,4.8,4.4,4.6,3.2,4.2,3.8,4.2,3.8,4,4.8,4,4.6,4.2,4.4,4.6,4.4,4.4,5
Costa Rica,5,4.5,4.5,4.5,4.5,3.75,3.75,4.25,4.25,3,4.75,4.5,4,3,3.25,4.75,4.75,4.25,4.5,4
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,4.88,4.75,4.63,4.63,4.38,4.38,4.88,4.75,3.75,4.63,5,4.75,4.63,4.5,4.5,4.63,4.88,4.25,4,8
El Salvador,5,4.67,4.67,5,4.67,3.33,4,3.33,3.67,4.33,4.33,3.67,4.33,4,4,4.33,4,4,4.33,3
Guatemala,4.83,4.33,4.33,4.5,4.67,4.33,4.17,4.33,3.83,4.5,4.5,4.5,4.67,4.5,4.5,4.67,4.83,4.5,4.33,6
Mexico,4.77,4.23,4.77,4.62,4.38,4.62,3.92,4.38,4.46,4.54,4.85,4.77,4.46,3.62,3.46,4.62,3.23,4.46,4.38,13
Nicaragua,4.5,3,3.5,4.5,4.5,3,2.5,2,2.5,3.5,4.5,4,3,1,2,4.5,3,3.5,3.5,2
Panama,4.67,4.17,4.25,4.83,4.92,4.33,4.17,4.17,3.58,4.17,4.42,4.58,4.33,3.25,3.33,4.33,3.42,4.42,4,12
Paraguay,4.67,3.33,4.67,4.67,4.67,3.33,3.67,3.67,4.33,5,5,4,4,1.67,2.67,5,3.33,4,4,3
Peru,4.86,4.5,4.43,4.36,4.43,3.93,4.14,4.29,4.07,3.71,4.43,4.36,4.14,4.21,4.21,4.29,4.14,4.29,4,14
Puerto Rico,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1
United States,4.78,3.44,3.44,3.89,3.33,2.67,3.67,3.11,3.78,3.56,4.33,4.22,4.22,1.67,2.56,4.22,4.33,3,3.22,9
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,4.25,2.88,3,4.25,3.63,3,3.13,2.88,3.75,3.13,4.13,3.5,3.5,3.5,3,3.38,3.38,2.88,2.75,8
Afghanistan,4.5,4,4,5,5,3,4,4.5,4,4.5,3.5,4.5,4.5,4,4,4,4,4.5,4,2
Australia,4.83,4.17,4,3.83,3.5,3.5,4.17,3.5,3.5,4,4.83,4.67,4.67,3.5,4.17,4.67,4.67,3.83,3.83,6
Bangladesh,4,3,5,3,3,5,4,3,2,4,5,4,4,1,2,3,2,2,2,1
Cambodia,4.75,5,4.5,4.75,4.5,4.5,4.75,4.5,4.25,5,4.75,4.75,4.5,4.5,4.5,4.5,4.75,4.75,4.75,4
China Mainland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,4.25,4.25,4.25,4.75,4.25,3.75,3.75,3.5,3.75,4.5,4.75,4.25,4,4,3.5,4.5,3.75,4.5,4,4
India,4.83,3.5,3.33,3.5,4,2.83,3,3.5,3.5,3,3.83,4.17,3.67,2,3.17,3.83,2.33,2.17,3.83,6
Indonesia,5,4,3,3.67,4.33,2.67,3.67,3.33,4,3.33,3.33,4,3.67,3.33,3,3.67,2.67,3,3,3
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
